P_00,P_01,P_10,P_11
0.06313525630998615,0.9014834585019029,0.03278418903984272,0.002597096148268081
0.04289296587804071,0.9250596289734601,0.026441356583023,0.005606048565476105
0.06149834971451349,0.9082328142383617,0.02579518231105595,0.004473653736068765
0.07611929909292893,0.8847686495427313,0.03311654063544495,0.005995510728894874
0.07230176118871041,0.8953955151709679,0.025327179095682474,0.006975544544639476
0.08364056042898631,0.8764236938749944,0.021954291962687417,0.01798145373333184
0.08155033239772204,0.8734061982721715,0.02523560642913529,0.01980786290097087
0.10825115864391568,0.8205974680080266,0.036678599223234395,0.034472774124823455
0.12538375151086373,0.8185696471304866,0.024870796487381653,0.03117580487126793
0.11693071919844644,0.7891462344609707,0.022101627310171693,0.07182141903041145
0.15654058374193378,0.7347226161576215,0.020866474699828014,0.08787032540061679
0.15900425118945719,0.7386726153067857,0.0218450431532527,0.08047809035050446
0.17822804411934423,0.6840979952295393,0.021811898140470715,0.11586206251064549
0.16254824470619855,0.6986637495776185,0.0279425934353917,0.11084541228079113
0.20241818684463456,0.6478318317032871,0.01658746866295805,0.13316251278912028
0.25852915020068035,0.5780289513290984,0.014329587380072208,0.14911231109014933
0.24325775219974324,0.5475861298859203,0.016280500413009234,0.19287561750132734
0.26968329352170106,0.527385997161241,0.006465974257693188,0.19646473505936454
0.27931224878089345,0.4733346092005611,0.022966266819202445,0.22438687519934294
0.2875436071437175,0.45221403393883985,0.014864772829330507,0.24537758608811217
0.3155030275062508,0.43833640979969013,0.008473924424570504,0.23768663826948844
0.33089850996545184,0.3654997777724459,0.01118268443095649,0.2924190278311458
0.38350785361059037,0.3037851132442981,0.003026103111407835,0.30968093003370384
0.3786964068080597,0.312751655358293,0.007793564700374908,0.30075837313327214
0.3797879795387684,0.2672186877308052,0.012218268365816071,0.34077506436461025
0.409742308688553,0.2366976073303865,0.012171403231102954,0.34138868074995754
0.39449526836916743,0.22259373624837148,0.00794941713717636,0.37496157824528487
0.4116387554498074,0.17846287934557084,0.009321344951573527,0.40057702025304825
0.45834555104698377,0.12545518167957792,0.006296057065685201,0.40990321020775305
0.4590761991181958,0.12766980784222332,0.012740219023844876,0.4005137740157357
0.44121304017679763,0.0942313479458256,0.01893686914761737,0.44561874272975943
0.4947307865853037,0.0919742545680021,0.0025943072685405896,0.41070065157815366
0.46881510830729123,0.07064191088156367,0.009490336816256583,0.4510526439948884
0.495036216553833,0.05623559543269731,0.0031608442824880376,0.44556734373098134
0.4791490650590666,0.056925149378493946,0.007208210153962101,0.45671757540847735
0.5091687152706733,0.050968118579484224,0.0052739151819409845,0.4345892509679014
0.4939695390854143,0.031133207433204402,0.004603570115545113,0.47029368336583627
0.5210527142705437,0.022345671691684235,0.00304595296103245,0.4535556610767399
0.5046886082164119,0.04746012996652494,0.005819290221532253,0.4420319715955308
0.5185626599744103,0.049313364126762585,0.005635744059334914,0.42648823183949186
0.4876589419254182,0.04995236966849114,0.0051201946688755355,0.45726849373721523
0.47220538155834074,0.0839095043594545,0.005200294716676205,0.43868481936552844
0.46412488604856356,0.08924814373458914,0.008041651568748842,0.4385853186480987
0.4518733645280117,0.12153297728275461,0.007338677216247479,0.4192549809729861
0.4420706500392402,0.14469747402925498,0.001968703903596582,0.4112631720279082
0.43822129431628776,0.15844010191555505,0.006944019173652587,0.3963945845945048
0.4224102831635196,0.17224945340432035,0.004927705665793477,0.4004125577663666
0.39815558429026804,0.2399746764032184,0.00912316417131775,0.35274657513519614
0.3809972551513086,0.26096257018378827,0.0009879907822928906,0.3570521838826101
0.3576696864092828,0.29763493542606434,0.0033884979917629815,0.34130688017289007
0.35086936828855664,0.3192913367568333,0.001680222143573665,0.3281590728110362
0.33406737673717374,0.3526452279651598,0.003676472646098381,0.30961092265156803
0.30925178957275257,0.4009850836316009,0.01254410531169459,0.27721902148395217
0.3058669793321403,0.4199415926978381,0.013424707597221319,0.2607667203728
0.25955050876230934,0.47456165893745844,0.002028466045668777,0.2638593662545634
0.24787451661781779,0.5101971209110028,0.002217277832130298,0.23971108463904933
0.24563354232784967,0.5547685958565862,0.0031466634800596223,0.19645119833550456
0.2124512967627056,0.561750327381287,0.011192671059473228,0.21460570479653426
0.18997726030538614,0.6248523919669329,0.004181148764613282,0.18098919896306767
0.17212305277334466,0.6539640476468781,0.017152535650207523,0.15676036392956955
0.16639917240608904,0.6866199548714687,0.006095137316086828,0.14088573540635568
0.14169214934867783,0.70957533531716,0.016090455904243843,0.1326420594299185
0.11791783588627985,0.7389979686318268,0.003381210925014492,0.13970298455687924
0.10851814297014342,0.772053535064532,0.013532690077411631,0.10589563188791307
0.09263084172582907,0.7838479903805545,0.01922510586329149,0.10429606203032485
0.07867165233073693,0.8150544653931351,0.014363674271226572,0.09191020800490121
0.08953427326752798,0.817820390168538,0.013741504966129883,0.07890383159780419
0.07138514740696587,0.8546440574724461,0.022018452406421578,0.0519523427141665
0.045606621583748834,0.8593210586816399,0.014577751718445917,0.08049456801616538
0.04882809702972606,0.8921606652831103,0.022882948351757023,0.03612828933540666
0.04222129269512248,0.874875800632509,0.016146349693242232,0.06675655697912608
0.047674992797093356,0.900497678732437,0.01677934092500776,0.0350479875454618
0.04960169393516304,0.8897414496957536,0.024755038894853112,0.035901817474230324
0.04899853684164157,0.9084045293520365,0.015471591471486483,0.027125342334835455
0.0548049930657236,0.8679682944310885,0.02718910356547019,0.050037608937717734
0.03999507954683049,0.8865543865759654,0.018638615468696478,0.054811918408507604
0.0483359144349752,0.8726277735648249,0.02264481730474822,0.05639149469545161
0.04039687543254219,0.8947161899583898,0.01631888758494775,0.04856804702412026
0.05290452581852574,0.8835994041025693,0.0178769982336152,0.04561907184528982
0.05808056847123274,0.8455428418815264,0.014702229687057743,0.08167435996018345
0.08389796340950681,0.8118154494420352,0.019871073966409837,0.08441551318204832
0.07630110244530709,0.8230871036043671,0.019398991770662222,0.08121280217966345
0.09062938879626249,0.7606603323388348,0.020783610752741787,0.127926668112161
0.13360655498521365,0.7118021611335793,0.019857007351876767,0.1347342765293303
0.1396110057098254,0.7058929136794568,0.012444602728748458,0.14205147788196912
0.12158923950698687,0.7023635049778226,0.014395342231265226,0.16165191328392492
0.1709055819735601,0.6189449746487303,0.00973705874552117,0.2004123846321883
0.19160238552908762,0.5973652200404994,0.011076574953171842,0.19995581947724106
0.18211890352401752,0.5737682745391475,0.02652578681515003,0.21758703512168528
0.22334039432134245,0.5341103073879786,0.008626421896367815,0.23392287639431097
0.24414250933719608,0.4786024561289041,0.016869065720197696,0.2603859688137023
0.24571440479448764,0.48073363471777536,0.006048788159352016,0.2675031723283847
0.25356142870769993,0.42910904167292335,0.014603199183328554,0.302726330436048
0.2907265344233473,0.36869370430581033,0.021360921782662565,0.3192188394881797
0.29445091519798233,0.33590511216995694,0.024824363266463808,0.34481960936559697
0.32199474366381703,0.3301716586571615,0.0302268203088239,0.3176067773701975
0.36181283317228247,0.25897558143058075,0.026430787504023247,0.3527807978931135
0.3623422814173523,0.2661147650457453,0.017718994886145006,0.35382395865075733
0.3969706745625458,0.19681174183726882,0.00911088880502897,0.3971066947951563
0.3829570406670946,0.20439464137038307,0.010714226309494266,0.4019340916530283
0.38608294703917795,0.19522799873306868,0.015771343000472175,0.4029177112272812
0.4191284786691095,0.1387076430416649,0.02158970795867649,0.42057417033054917
0.4044281998815866,0.13283643826623737,0.01453853412835851,0.4481968277238175
0.4125898414871754,0.1042373207877701,0.02424139460227799,0.45893144312277645
0.4369677930906564,0.09072710668271067,0.02624805315768781,0.44605704706894517
0.45807043813378123,0.08320095224510445,0.016600280860376942,0.4421283287607374
0.4665964166571956,0.06326329244111137,0.012240224943697049,0.4579000659579959
0.4598017042082395,0.06666968556373064,0.022998602150735518,0.45053000807729454
0.4417764899210992,0.05096290854296387,0.009304798932970136,0.4979558026029666
0.46146935054661653,0.06504277636707056,0.014995975584377963,0.4584918975019349
0.4351279816106861,0.04364562985807948,0.01989347286894898,0.5013329156622857
0.47278111961176017,0.05791368663354525,0.01238133139857299,0.4569238623561214
0.4534214205901395,0.05289050392395059,0.02141082961187482,0.47227724587403525
0.4467628841086167,0.06528158025492517,0.024486481984473705,0.4634690536519845
0.462005959870892,0.1002961825818131,0.02541710364997788,0.41228075389731694
0.4394059913442127,0.09314073506252848,0.01466074888541485,0.45279252470784415
