alpha_rad,FI
4.197955072346414296e-01,2.376599010433866344e+00
4.277806051072062243e-01,2.441076429589096541e+00
4.357657029797710746e-01,2.463341177078845590e+00
4.437508008523359249e-01,2.484728270328022237e+00
4.517358987249007196e-01,2.505269876219986536e+00
4.597209965974655144e-01,2.524997077143444013e+00
4.677060944700303646e-01,2.543939517797589644e+00
4.756911923425952149e-01,2.596041980294378604e+00
4.836762902151600096e-01,2.613185315128218278e+00
4.916613880877248044e-01,2.629632933330475986e+00
4.996464859602896547e-01,2.645410167840973159e+00
5.076315838328544494e-01,2.660541306708601006e+00
5.156166817054192997e-01,2.675049560057319642e+00
5.236017795779840389e-01,2.688957050908792556e+00
5.315868774505488892e-01,2.727833241215792182e+00
5.395719753231137394e-01,2.740393135682114512e+00
5.475570731956785897e-01,2.752418644680614701e+00
5.555421710682433289e-01,2.763927975095235023e+00
5.635272689408081792e-01,2.774938512647607602e+00
5.715123668133730295e-01,2.785466772261082191e+00
5.794974646859378797e-01,2.819337074335117155e+00
5.874825625585026190e-01,2.828760883015860816e+00
5.954676604310674692e-01,2.837753847959178177e+00
6.034527583036323195e-01,2.846329324069383215e+00
6.114378561761970587e-01,2.854499865075785792e+00
6.194229540487619090e-01,2.862277397455211148e+00
6.274080519213267593e-01,2.869673196612965160e+00
6.353931497938916095e-01,2.896670800862040096e+00
6.433782476664564598e-01,2.903210893884110799e+00
6.513633455390211990e-01,2.909404944743492649e+00
6.593484434115860493e-01,2.915261819222986883e+00
6.673335412841508996e-01,2.920789779539258557e+00
6.753186391567156388e-01,2.925996597928600895e+00
6.833037370292804891e-01,2.949610558838817731e+00
6.912888349018453393e-01,2.954102079961482108e+00
6.992739327744101896e-01,2.958298611461657401e+00
7.072590306469750399e-01,2.962205955572862148e+00
7.152441285195397791e-01,2.965829517550916172e+00
7.232292263921046294e-01,2.969174271765570250e+00
7.312143242646694796e-01,2.972244785795730149e+00
7.391994221372342189e-01,2.990613003618142418e+00
7.471845200097990691e-01,2.993099676823773425e+00
7.551696178823639194e-01,2.995327996740189569e+00
7.631547157549287697e-01,2.997300971631881250e+00
