ground,excited
0.0204613162380402,0.9795386837619597
0.019953778461018413,0.9800462215389815
0.032183711993926896,0.9678162880060732
0.04869644146163866,0.951303558538361
0.016234261643390528,0.9837657383566093
0.04511564702619008,0.95488435297381
0.0862867441659742,0.9137132558340259
0.11428682772710674,0.8857131722728933
0.14899674708994753,0.8510032529100524
0.21079831126195306,0.789201688738047
0.19703896787596642,0.8029610321240334
0.18385998624153013,0.81614001375847
0.2397439583162214,0.7602560416837787
0.19362793787665994,0.8063720621233401
0.2315717908171254,0.7684282091828745
0.29371075128558477,0.706289248714415
0.23170176197740047,0.7682982380225994
0.27988592309468074,0.7201140769053193
0.2579007178189301,0.7420992821810698
0.2805101334234781,0.7194898665765219
0.2629446752214157,0.7370553247785843
0.3187856531248675,0.6812143468751323
0.22715341862348173,0.7728465813765184
0.28907833490622814,0.710921665093772
0.29669480768073875,0.7033051923192613
0.2966577273742914,0.7033422726257088
0.323209203879051,0.676790796120949
0.3190966780233574,0.6809033219766427
0.40597126194538297,0.5940287380546171
0.4159502693401336,0.5840497306598664
0.4676784896606762,0.5323215103393235
0.5150331672089785,0.4849668327910213
0.5027376128654042,0.4972623871345959
0.5424605652484029,0.4575394347515971
0.6470527810593456,0.35294721894065434
0.5819766231951571,0.41802337680484297
0.690494618420931,0.30950538157906915
0.712368805626514,0.2876311943734858
0.7339552536968975,0.2660447463031026
0.7476458447298403,0.2523541552701598
0.7654335371036135,0.23456646289638639
0.8210598148993692,0.1789401851006309
0.800864868628154,0.19913513137184605
0.8043131941364486,0.1956868058635515
0.8565338805693221,0.14346611943067789
0.8265031623735825,0.17349683762641743
0.8471641259357542,0.15283587406424567
0.778358257972903,0.22164174202709683
0.808808902936646,0.19119109706335385
0.7745691756604719,0.22543082433952807
0.8354027266648193,0.16459727333518082
0.799355158388277,0.20064484161172302
0.787001149811523,0.2129988501884766
0.8617507098991715,0.13824929010082854
0.8034507210092722,0.19654927899072747
0.8397210210154431,0.16027897898455704
0.8608128367426575,0.13918716325734284
0.8863538431238093,0.11364615687619063
0.8745512442153819,0.12544875578461823
0.9229308326171096,0.0770691673828906
0.9139850151502427,0.08601498484975731
0.9168533299445933,0.08314667005540653
0.957981635303348,0.04201836469665167
0.9447272335363868,0.05527276646361309
0.9739551998779495,0.026044800122050207
0.9774605756063375,0.022539424393662175
0.9519888986615277,0.04801110133847205
0.9311771956725525,0.06882280432744757
0.9476793961060452,0.05232060389395494
0.9228131750240749,0.077186824975925
0.9191321436943974,0.08086785630560249
0.8483205191539107,0.15167948084608915
0.8649887813471693,0.13501121865283064
0.8132794712459704,0.18672052875402936
0.8263228172813722,0.17367718271862748
0.690449702495903,0.30955029750409724
0.7257866384223922,0.2742133615776078
0.7166309322853364,0.28336906771466347
0.6995034952682595,0.30049650473174033
0.6397562922885949,0.360243707711405
0.704026792339678,0.29597320766032215
0.5638856419194627,0.43611435808053733
0.6078322397668521,0.39216776023314803
0.6128768355022192,0.3871231644977807
0.5815333078337451,0.41846669216625465
0.5246522972241745,0.4753477027758256
0.5900946140839117,0.4099053859160882
0.5639110246027375,0.43608897539726227
0.5425761900748829,0.45742380992511705
0.5735404093036757,0.4264595906963244
0.563292512280239,0.4367074877197611
0.5425760137465787,0.4574239862534213
0.5108123215581829,0.4891876784418172
0.5375272681360403,0.4624727318639597
0.4150599968795603,0.5849400031204396
0.4246456459106997,0.5753543540893004
0.42406440321129574,0.5759355967887043
0.42837838087809793,0.5716216191219021
0.3763205513145608,0.6236794486854391
0.3364531241884475,0.6635468758115524
0.25089591061418953,0.7491040893858104
0.2107326998290564,0.7892673001709436
0.2276976844047284,0.7723023155952715
0.13289451295028812,0.867105487049712
0.13980721099431592,0.8601927890056844
0.12798380230716386,0.872016197692836
0.16218792988960415,0.8378120701103959
0.12389736610594958,0.8761026338940504
0.10071346251439262,0.8992865374856073
0.09838814907097444,0.9016118509290256
0.10023322907762941,0.8997667709223705
0.14506658502149516,0.8549334149785048
0.12810647465150138,0.8718935253484985
0.1444245162081383,0.8555754837918618
0.14987716106188323,0.8501228389381167
0.15331295632661954,0.8466870436733803
0.12285442869652191,0.8771455713034783
0.13248859420955886,0.8675114057904408
0.14370898359050116,0.8562910164094987
0.1616526278091817,0.8383473721908185
0.11954629987916421,0.8804537001208357
0.1590366121621313,0.8409633878378686
0.12207614715247453,0.8779238528475255
0.14041886306461077,0.8595811369353893
0.07920274458989567,0.9207972554101042
0.11318614802184254,0.8868138519781573
0.12243758546736587,0.8775624145326341
0.08416462813324485,0.915835371866755
0.09147359687339739,0.9085264031266027
0.1051757112046758,0.894824288795324
0.09115253251454758,0.9088474674854524
0.1049235365392559,0.8950764634607442
0.06840636936271155,0.9315936306372885
0.12730042706673922,0.8726995729332605
0.19280535780511515,0.8071946421948849
0.1755346351796429,0.8244653648203571
0.2278789146561032,0.772121085343897
0.2759654360485416,0.7240345639514584
0.252989467327128,0.747010532672872
0.29312664257288445,0.7068733574271155
0.327370795850242,0.672629204149758
0.4019228764532465,0.5980771235467536
0.4198492138259564,0.5801507861740438
0.42542707190346246,0.5745729280965374
0.4332755750858469,0.5667244249141531
0.48075539381484766,0.5192446061851522
0.48918809269130203,0.5108119073086977
0.5341550777052214,0.46584492229477864
0.5250095013011399,0.4749904986988601
0.5339270572042812,0.4660729427957188
0.5816592269563224,0.4183407730436776
0.5464245650396882,0.4535754349603118
0.5467459984242877,0.45325400157571233
0.49808493515281427,0.5019150648471856
0.5769425458254286,0.4230574541745712
0.5908802944734655,0.4091197055265347
