ground,excited
0.015244595896210255,0.9847554041037899
0.020951537788783874,0.9790484622112163
0.03124666908174043,0.9687533309182595
0.036749999080283494,0.9632500009197166
0.02355649162110424,0.9764435083788957
0.02610516396138337,0.9738948360386168
0.022101168619523447,0.9778988313804766
0.018062537614002276,0.9819374623859979
0.018515602203991267,0.9814843977960086
0.026253639282564703,0.9737463607174353
0.014989826535741841,0.9850101734642583
0.030170189019409537,0.9698298109805902
0.015087613015386591,0.9849123869846133
0.02450821248675599,0.9754917875132441
0.028285214503736417,0.9717147854962636
0.01159561345547883,0.988404386544521
0.026043280152036975,0.9739567198479631
0.02633061121754629,0.9736693887824536
0.017759234857817982,0.982240765142182
0.015794536751720187,0.9842054632482798
0.010392893758590684,0.9896071062414092
0.027725684872268765,0.972274315127731
0.025009910508286663,0.9749900894917133
0.014189798348798653,0.9858102016512013
0.019342871515869595,0.9806571284841303
0.027656443435032246,0.9723435565649678
0.032767437203074505,0.9672325627969255
0.011900027297197874,0.9880999727028021
0.031088314730104028,0.9689116852698959
0.024426516864071504,0.9755734831359284
0.03820960368325521,0.9617903963167448
0.031621203617079305,0.9683787963829207
0.009820015796590314,0.9901799842034097
0.04363903004740457,0.9563609699525955
0.03193924574775991,0.96806075425224
0.026253752466929438,0.9737462475330705
0.007567759664719185,0.9924322403352808
0.017668304481435783,0.9823316955185641
0.015823328834157508,0.9841766711658426
0.02080690520373487,0.9791930947962653
0.022248683184902352,0.9777513168150975
0.018610353215942746,0.9813896467840569
0.04028494874146378,0.9597150512585362
0.0151856544619786,0.9848143455380214
0.023103338416391322,0.9768966615836088
0.02445818436584712,0.9755418156341529
0.027271547094596418,0.9727284529054038
0.027411601071630046,0.97258839892837
0.02521826789308967,0.9747817321069105
0.033070239520868454,0.9669297604791316
0.03095966319423207,0.9690403368057678
0.013695823662372125,0.986304176337628
0.033473719175372875,0.9665262808246271
0.030301409936779187,0.9696985900632208
0.03456457197817288,0.9654354280218271
