Q1_delta_freq
456358
440364
479197
457785
382023
405096
817702
-2190954
-750987
-511354
-427594
-345728
-247638
-183449
-145183
-98772
-54644
-35016
-30891
-38599
-40378
-40025
-38624
-36081
-29740
-24528
