ground,excited
0.5048680338636721,0.4951319661363278
0.35632889691747677,0.6436711030825231
0.20683872279285012,0.7931612772071497
0.10160081323986182,0.8983991867601381
0.07078368998942029,0.92921631001058
0.022357884789793746,0.9776421152102063
0.05226285418503405,0.9477371458149662
0.10014255255018238,0.8998574474498177
0.18092626205785942,0.8190737379421406
0.29993384182869365,0.7000661581713062
0.46238279560522066,0.5376172043947794
0.5878495519052986,0.4121504480947016
0.7560473279149117,0.24395267208508806
0.8592148979783183,0.1407851020216815
0.9235346077940778,0.07646539220592202
0.9754981902503744,0.024501809749625573
0.971071680827932,0.028928319172068017
0.9446504609063564,0.05534953909364338
0.8297497003177454,0.17025029968225436
0.7208051954252594,0.2791948045747404
0.5648625723534264,0.43513742764657354
0.43271198878985084,0.5672880112101493
0.27848746856259016,0.7215125314374098
0.15904933689538195,0.8409506631046182
0.08040547645594089,0.919594523544059
0.049360875193794396,0.9506391248062056
0.03152767279206859,0.9684723272079312
