P_00,P_01,P_10,P_11
0.05203003430119866,0.9102006459006295,0.03289510645893254,0.004874213339239294
0.055329600178813255,0.9037144553679441,0.03675264568634565,0.004203298766897132
0.056746190224626125,0.9082579493290031,0.02943577220886012,0.0055600882375107935
0.05736854977686225,0.9019451166170607,0.03132450307795668,0.009361830528120226
0.07573902566137632,0.8804069490228238,0.02751601137321184,0.016338013942588374
0.08079375669460175,0.8654965766963938,0.028884001581827676,0.02482566502717658
0.09213147918608681,0.8371043549900651,0.029819185551670162,0.04094498027217768
0.10865492310440912,0.8117832482716133,0.031119742018166995,0.048442086605810813
0.12105628321803674,0.7873378529929532,0.022031737497510112,0.06957412629150013
0.1450562412434896,0.7381665092324579,0.02280631367426344,0.09397093584978926
0.16473887260408665,0.7118666542343137,0.0211036719323879,0.10229080122921178
0.19410457177150062,0.6586267944788263,0.01917337277056178,0.12809526097911117
0.20876377019417316,0.6251011806788492,0.019405353340525237,0.14672969578645215
0.23918197337912783,0.569596276955807,0.014350104772374628,0.17687164489269058
0.2496852809692766,0.5287290096905097,0.012761385574822277,0.2088243237653915
0.27789574766916436,0.4852164994564616,0.013096794994685801,0.2237909578796884
0.30699017172228865,0.44076815430197036,0.011387002008615536,0.2408546719671255
0.3211101812339213,0.3942454181944144,0.010758683498518565,0.27388571707314574
0.347899939119638,0.3418365491220081,0.006766330790564998,0.30349718096778905
0.3787981857722033,0.29911982685668315,0.00636935029998288,0.31571263707113073
0.39163904025998447,0.25550095158544867,0.008007875163007654,0.34485213299155926
0.4053520718097526,0.2280741678695009,0.007930488215898162,0.35864327210484837
0.42597289941415045,0.18849775304312405,0.0057578105533005,0.3797715369894251
0.43966219512652494,0.1523048251840155,0.007260136764455246,0.40077284292500454
0.4615470417774494,0.12396342880918759,0.006251404473339836,0.4082381249400232
0.4659868963917757,0.09241479012522791,0.005521061930730859,0.4360772515522658
0.48389583095562827,0.07353468176256737,0.003437335952800626,0.43913215132900385
0.4978511624493315,0.056063711171139674,0.004832141430961846,0.4412529849485671
0.4955951441436078,0.0441960064796999,0.004534809631664544,0.4556740397450278
0.49483890568522615,0.041076141552232354,0.008905546543311271,0.45517940621923025
0.499222392951962,0.030130329576378737,0.004059957244964278,0.46658732022669486
0.488823597636025,0.04308265868606792,0.0038149781349908207,0.4642787655429162
0.49119046798942195,0.04416919552059425,0.004917686707453535,0.4597226497825302
0.4846324230984493,0.06270217585977607,0.003163032013885866,0.44950236902788887
0.4754486728032698,0.0730858285779707,0.005036710117410217,0.4464287885013495
0.45753791837921154,0.10155102469049028,0.0044145540814762,0.4364965028488221
0.45840825369413096,0.12587650169194242,0.003940403788478772,0.41177484082544774
0.43576562767828736,0.14571595214493252,0.003751436905665653,0.41476698327111455
0.41854793759753284,0.18746317364042506,0.004345778493484523,0.38964311026855764
0.39341426552012765,0.22215007256631808,0.005993182673125201,0.3784424792404293
0.37617031659835065,0.2707498373367265,0.005622152648303569,0.3474576934166193
0.3596740263873296,0.3056832881019522,0.004829059373202748,0.32981362613751564
0.33597309013668175,0.34411942020038794,0.004491381770062437,0.31541610789286795
0.3133557366509057,0.3845321456717182,0.007832725040125723,0.2942793926372505
0.2820467812850785,0.4377754007429226,0.004163900163448052,0.27601391780855095
0.2547277692890073,0.4902934525191393,0.006469791767204881,0.24850898642464864
0.22266737648887386,0.537662550699975,0.00893975888865603,0.23073031392249505
0.2150833723763016,0.579202709576169,0.006516141022463704,0.19919777702506553
0.18710338933698573,0.6217036715027606,0.011535928987151646,0.17965701017310207
0.16260931073503734,0.6691226090718623,0.011686377955510951,0.15658170223758952
0.15427514936568057,0.6917285116622351,0.011346810541286913,0.14264952843079748
0.12253204495151034,0.7442057029052128,0.012657354848848768,0.1206048972944278
0.11222871545472979,0.7736390311087777,0.010592873770219627,0.10353937966627341
0.09146097692815804,0.7961218028433064,0.015467170781824767,0.09695004944671091
0.07853569598052876,0.836122774018163,0.012207892490131177,0.07313363751117705
0.07430757755155563,0.8490387354911215,0.012653225762947163,0.06400046119437598
0.05898853478430964,0.8779534910607193,0.010381488601034109,0.05267648555393704
0.04838753849355432,0.8913977512631907,0.012340232020488262,0.04787447822276706
0.04282994157959088,0.8920769210114637,0.01491126060348894,0.05018187680545667
0.044150324236900663,0.89348132455568,0.01550668451620599,0.04686166669121342
0.038503467628455836,0.9002598666150945,0.018590569433639077,0.04264609632281063
0.043132597989414066,0.8914874227579667,0.01492914038496926,0.050450838867650304
0.059123233078917765,0.8723789510194013,0.01984268906314857,0.048655126838532264
0.05644760702837192,0.8700280741124305,0.01276154107361992,0.06076277778557734
0.06886829096827113,0.8442591839690294,0.01440324827311117,0.07246927678958846
0.08697653232861481,0.8210378011398595,0.015826774051807393,0.0761588924797185
0.09381405174183617,0.7973746091071295,0.017554792611275412,0.09125654653975895
0.10546775819342802,0.765063364539294,0.022426894235230525,0.10704198303204762
0.12525762253238634,0.727558279875268,0.013934229082523966,0.13324986850982182
0.14062255364666096,0.6967207083999686,0.01730115946216508,0.1453555784912055
0.16054183241805825,0.6552372052253365,0.014546169006458541,0.1696747933501467
0.1850970181192953,0.6058530552653598,0.016906748185426895,0.1921431784299178
0.21303942419212543,0.5566283776704939,0.015886849398842252,0.2144453487385387
0.24244658873173586,0.5077981118803953,0.018312762511581072,0.23144253687628782
0.25353145328198884,0.47726789484252746,0.012389915174595409,0.25681073670088816
0.2767428612483126,0.43007347675889235,0.01369724991335534,0.27948641207943986
0.29474300654429436,0.3894107484890581,0.01875436226848013,0.29709188269816744
0.32287447181419016,0.34394523745077626,0.018392910165027587,0.314787380570006
0.3459129779838917,0.3010666321452701,0.013094357805940574,0.3399260320648977
0.3674070618888226,0.2555887442198159,0.01406185651495066,0.36294233737641074
0.38663318633925653,0.2187298335735239,0.014521902593431573,0.3801150774937881
0.4043410457227634,0.18131949058756516,0.021101401153566016,0.39323806253610527
0.41941177699007715,0.14447783998754435,0.016070027183704115,0.4200403558386745
0.44195709751795276,0.12131129234968682,0.017647392148755072,0.4190842179836054
0.45470177016430996,0.08777435400380912,0.015005242654752728,0.44251863317712775
0.45001844046662615,0.07735915799612834,0.02236813969532856,0.4502542618419169
0.4584338597209514,0.06480229510228028,0.020203870710990977,0.4565599744657772
0.4799297245864805,0.04128625495433383,0.025158124036063906,0.4536258964231218
0.47265539682120733,0.0403735922070096,0.0181353780422363,0.4688356329295468
0.4740783027554114,0.03371867847713639,0.020049014138345495,0.4721540046291069
0.4810360197548204,0.047271620540518984,0.022183722046843855,0.4495086376578168
0.48584006379507527,0.05665504247649044,0.02093928531048667,0.4365656084179476
0.46361205511753056,0.07389487167426431,0.021103056065869652,0.4413900171423354
0.46020341954552146,0.08072580490942977,0.02376355002869538,0.43530722551635337
0.45523478188282274,0.10265549044306888,0.024939708515234096,0.4171700191588744
0.43949966710392674,0.1335932746583882,0.02549059040948204,0.401416467828203
0.42623636166898343,0.16313832337440515,0.02229849495705686,0.38832681999955465
0.4049423933795572,0.19915466751318434,0.02993925158332075,0.3659636875239378
0.38905542053340114,0.23001540213420224,0.025017696293780728,0.355911481038616
0.36826222146976845,0.2661608624563882,0.02890701077336355,0.33666990530047974
0.35035948936862127,0.3108896110771833,0.029568007378311435,0.3091828921758842
0.3227065580742582,0.36558971447672445,0.025954368621259404,0.2857493588277579
0.30093456016834774,0.39637884236611964,0.02822232216920224,0.27446427529633055
0.27955482908668755,0.4399160181762119,0.03409432173017905,0.2464348310069214
0.2663433358759509,0.48597950868111583,0.02919438130431081,0.21848277413862255
0.2329997005569102,0.5362034191730097,0.03331015562070572,0.19748672464937433
0.21282527577584823,0.5877225878204909,0.03417312549924889,0.16527901090441205
0.18981009205538163,0.6393186847544902,0.03589788076015454,0.13497334242997358
0.16159769139603516,0.6734872352112955,0.037264910450916955,0.12765016294175244
0.14836119308713627,0.7066961386009131,0.034810895866685725,0.11013177244526506
0.13189965899024042,0.7464582209805801,0.03539495119965561,0.08624716882952424
0.1204254439045625,0.7767894502696165,0.03555220581397786,0.06723290001184322
0.10110663536715282,0.8108027019312778,0.03477940422365314,0.05331125847791623
0.09624758544077619,0.828125817752732,0.035607603157101216,0.040018993649390946
0.07806802021145261,0.8635501344465399,0.02880718384580957,0.02957466149619814
0.06284735213761639,0.882512581987043,0.033627181916324765,0.021012883959015696
0.06097203032050872,0.8925483842136932,0.030549601671632672,0.015929983794165506
0.059877989825066105,0.8923011520787125,0.034888091556611156,0.012932766539610195
0.061909148389266686,0.8963301477460104,0.028790840637055188,0.012969863227667728
0.055190436247564194,0.9017722632442069,0.03195989367789838,0.011077406830330493
0.06126744121586508,0.8992198214183433,0.029962573067489586,0.009550164298302181
0.07028717591784589,0.8869499918046438,0.027755381052918873,0.015007451224591423
0.08141435158469652,0.8697445179243348,0.02702676617588882,0.021814364315079965
0.08356451918631812,0.8647228788929665,0.02341560437805406,0.028296997542661326
0.09798207980712001,0.830953375419525,0.024789022414724686,0.046275522358630604
0.11375709565255004,0.8061856671863301,0.023886332769639314,0.05617090439148059
0.1386598681558774,0.7642212575403491,0.02228471322116675,0.07483416108260658
0.15116236398021862,0.7412122370991436,0.01870914171790689,0.08891625720273073
