Q2_delta_freq
-596512
-756523
-1360695
2114717
1010825
671982
727803
903658
898561
925287
1064361
1004260
901459
857606
967765
1163793
1511051
3548153
-2950243
-1592068
-1038679
-704298
-502514
-389556
-295553
-214057
