ground,excited
0.48962429064651114,0.5103757093534889
0.6537197673226232,0.34628023267737656
0.8035314160401613,0.19646858395983868
0.8703617915968793,0.12963820840312076
0.9451838653052991,0.054816134694700876
0.97252794714961,0.027472052850389915
0.9823880421975084,0.017611957802491605
0.8868575212968328,0.11314247870316717
0.7858965162303166,0.21410348376968352
0.673667938703231,0.3263320612967689
0.5234118117996123,0.4765881882003879
0.40628379547198795,0.5937162045280122
0.2737998465673035,0.7262001534326964
0.15429356249142265,0.8457064375085775
0.07236352223747232,0.9276364777625278
0.024805786689427494,0.9751942133105725
0.02780614368681295,0.9721938563131871
0.07796758761080298,0.9220324123891971
0.19706262166003652,0.8029373783399634
0.29753033172864074,0.7024696682713591
0.43608817162484587,0.5639118283751543
0.5528557232690257,0.44714427673097407
0.7109176557262367,0.28908234427376345
0.8296542708850375,0.1703457291149627
0.917391162056799,0.08260883794320102
0.9725699360955524,0.027430063904447556
0.9797015543167577,0.020298445683242388
