ground,excited
0.4829955199970164,0.5170044800029836
0.3511949215347026,0.6488050784652969
0.24497479215787527,0.755025207842125
0.11998781189768286,0.880012188102317
0.03595679505193422,0.9640432049480658
0.019321672444378005,0.9806783275556219
0.055205695144555596,0.9447943048554444
0.08757429187891091,0.9124257081210893
0.2311730399265673,0.7688269600734328
0.36577910909986444,0.6342208909001356
0.4933915873900647,0.5066084126099354
0.6618436178376024,0.3381563821623978
0.7953648837423258,0.20463511625767442
0.8816059868657556,0.11839401313424441
0.9646052513804084,0.03539474861959138
0.9909437718493067,0.009056228150693443
0.9776247944820613,0.02237520551793872
0.9039691369031011,0.09603086309689887
0.8353192662239082,0.16468073377609171
0.6463328701007957,0.35366712989920435
0.5346450920028855,0.46535490799711454
0.41973130367878453,0.5802686963212151
0.2425919258555123,0.7574080741444877
0.14033626492374332,0.8596637350762567
0.04956409113571433,0.9504359088642856
0.019902643097703815,0.9800973569022964
0.04065160838767413,0.9593483916123259
