ground,excited
0.48178790790303894,0.5182120920969611
0.6684949697658091,0.33150503023419076
0.7884848765106007,0.21151512348939927
0.8822001449470075,0.11779985505299254
0.959371550258418,0.04062844974158186
0.9881376606044424,0.011862339395557626
0.9669655598190872,0.03303444018091278
0.9085505544008844,0.09144944559911546
0.8078946967326301,0.1921053032673695
0.6825133986288505,0.3174866013711496
0.5297844871200752,0.4702155128799247
0.3743592880191719,0.6256407119808283
0.2383663395072999,0.7616336604927001
0.12774265606425228,0.8722573439357476
0.059801951515456725,0.9401980484845434
0.02719605993211821,0.972803940067882
0.02922825616517815,0.9707717438348218
0.08438836380410684,0.9156116361958934
0.18797920375451777,0.8120207962454823
0.28787222374127575,0.7121277762587245
0.4425892824857477,0.5574107175142524
0.5755646405954083,0.4244353594045916
0.7391031719719142,0.26089682802808567
0.8473991778827189,0.1526008221172809
0.9327154550249297,0.06728454497507026
0.9922608863357936,0.007739113664206354
0.9782279116816273,0.02177208831837286
