ACS_frequency
4.099999999999999645e+00
4.109999999999999432e+00
4.119999999999999218e+00
4.129999999999999893e+00
4.139999999999999680e+00
4.149999999999999467e+00
4.159999999999999254e+00
4.169999999999999929e+00
4.179999999999999716e+00
4.189999999999999503e+00
4.199999999999999289e+00
4.209999999999999964e+00
4.219999999999999751e+00
4.229999999999999538e+00
4.239999999999999325e+00
4.250000000000000000e+00
4.259999999999999787e+00
4.269999999999999574e+00
4.279999999999999361e+00
4.290000000000000036e+00
4.299999999999999822e+00
4.309999999999999609e+00
4.319999999999999396e+00
4.330000000000000071e+00
4.339999999999999858e+00
4.349999999999999645e+00
