Q1_delta_freq
4.563580000000000000e+05
4.403640000000000000e+05
4.791970000000000000e+05
4.577850000000000000e+05
3.820230000000000000e+05
4.050960000000000000e+05
8.177020000000000000e+05
-2.190954000000000000e+06
-7.509870000000000000e+05
-5.113540000000000000e+05
-4.275940000000000000e+05
-3.457280000000000000e+05
-2.476380000000000000e+05
-1.834490000000000000e+05
-1.451830000000000000e+05
-9.877200000000000000e+04
-5.464400000000000000e+04
-3.501600000000000000e+04
-3.089100000000000000e+04
-3.859900000000000000e+04
-4.037800000000000000e+04
-4.002500000000000000e+04
-3.862400000000000000e+04
-3.608100000000000000e+04
-2.974000000000000000e+04
-2.452800000000000000e+04
